,feature,corr,rf,xgb,lgb,corr_rank,rf_rank,xgb_rank,lgb_rank,rank
129,收益级别_1mean_y,0.044168449874635814,0.0007665778310269576,0.0023890478,75,130.0,221.0,100.0,245.0,696.0
113,首付率max_y,0.047778955408430204,0.001891256276753161,0.0019019020999999998,73,114.0,139.0,200.0,248.0,701.0
265,首付率mean_x,0.026479509093058018,0.003113445685922129,0.0015827479,1147,266.0,93.0,313.0,29.0,701.0
259,信用额度max_x,0.027699046761772397,0.0033085356715543603,0.001670244,525,260.0,87.0,284.0,72.0,703.0
436,拟实际应还贷款金额max_x,0.010772788076933002,0.00358672645455109,0.0020309573,1234,437.0,76.0,166.0,25.0,704.0
90,产品类型_1sum_x,0.05295253623020404,0.0005822575363394085,0.002541704,53,91.0,251.0,82.0,282.0,706.0
122,拟实际应还贷款金额sum_y,0.0452696974107061,0.003640663685579226,0.0014671966,153,123.0,74.0,355.0,161.0,713.0
275,产品组合_11.0mean_x,0.02528381014791807,0.0009714880690992403,0.0021315929999999998,279,276.0,188.0,143.0,106.0,713.0
317,本期贷款金额mean,0.021684805734413483,0.003961493783472426,0.0016582270000000002,906,318.0,70.0,287.0,45.0,720.0
15,商品类别_27sum_y,0.07876901557019368,0.002410853092303353,0.001783609,24,16.0,120.0,236.0,351.0,723.0
163,信用额度mean_y,0.03906515743614325,0.003083739258869958,0.0016828796,123,164.0,95.0,276.0,191.0,726.0
201,客户类型_1mean_x,0.033903289423664516,0.000923413571215335,0.0017698471,362,202.0,194.0,243.0,94.0,733.0
62,产品类型_1mean_y,0.058746781405389914,0.0008474612997307693,0.0018911407000000002,61,63.0,210.0,202.0,265.0,740.0
171,拟实际应还贷款金额mean_y,0.03819234857887541,0.0019391686507571968,0.0016794496,158,172.0,135.0,278.0,158.0,743.0
307,信用额度mean_x,0.02273258802613524,0.002798840740392457,0.0017261363,570,308.0,107.0,261.0,67.0,743.0
239,申请额度mean_x,0.029627714742790863,0.0030127709825057266,0.0015209779,582,240.0,102.0,339.0,65.0,746.0
261,职业_3.0,0.027414797332166927,0.00035218685397641263,0.0040095956,163,262.0,305.0,28.0,155.0,750.0
382,首付金额mean_x,0.014732683381771925,0.005315969318214385,0.0016887626,918,383.0,53.0,274.0,42.0,752.0
64,组合类型_2sum_y,0.058210463781148386,0.0005393194643842343,0.0035940888,13,65.0,255.0,33.0,402.0,755.0
34,行业_10sum_y,0.07568630663037562,0.002234135139773734,0.0018469449,16,35.0,123.0,214.0,388.0,760.0
180,是否提供电话,0.03708602073346789,0.0003651159322087104,0.0021672295000000003,165,181.0,300.0,129.0,151.0,761.0
136,付款方式_0mean_y,0.0434730238974694,0.0007854087018601566,0.002078777,66,137.0,218.0,152.0,259.0,766.0
206,申请时点,0.033581015952516516,0.001071498718342582,0.0015586013,614,207.0,178.0,324.0,59.0,768.0
18,客户类型_2sum_y,0.07824497094698854,0.00123101911158855,0.0017328460000000001,32,19.0,168.0,256.0,330.0,773.0
170,居住信息2,0.03820833281456346,0.0017096426517452046,0.001341312,700,171.0,148.0,403.0,54.0,776.0
49,地址是否一致标志6,0.06657542762997291,0.0035199775286990265,0.0015727539000000002,32,50.0,80.0,317.0,330.0,777.0
241,申请时点_4mean_x,0.029502271947331394,0.0008373255946922347,0.0017937426,355,242.0,212.0,231.0,96.0,781.0
316,申请时点_9mean_x,0.021761277374361745,0.0007177191804586452,0.002097669,381,317.0,227.0,148.0,91.0,783.0
194,商品类别_19mean_x,0.035105194171838015,0.0018107555035036106,0.0014819766,286,195.0,141.0,349.0,105.0,790.0
584,本期贷款金额max,0.004300440864379663,0.005560483899891062,0.0021513926,1284,585.0,49.0,136.0,22.0,792.0
